Samples	Latitude	Longitude	Biome	Average.precip	Alpha_div	Org.Matter
Sample_1	-19.56	-43.75	Cerrado	50.17	0.92	3.69
Sample_10	-23.8969	-46.2078	Atlanctic_forest	83.07	3.03	7.7
Sample_11	-23.9017	-45.2508	Atlanctic_forest	3.92	1.67	7.69
Sample_12	-25.0839	-47.9506	Atlanctic_forest	88.23	3.08	7.61
Sample_13	-23.8468	-46.4159	Atlanctic_forest	5.42	5.4	7.56
Sample_14	-23.8658	-46.4375	Atlanctic_forest	72.91	4.6	8.64
Sample_15	-11.6833	-55.8358	Amazon	88.23	3.89	12.09
Sample_16	-26.733	-54.683	Argentina	80.67	4.89	11.42
Sample_17	-11.6833	-55.8358	Amazon	90.21	4	11.9
Sample_18	-11.7413	-56.2533	Amazon	92.5	4.04	11.81
Sample_19	-11.6833	-55.8358	Amazon	92.73	4.04	11.63
Sample_2	-19.51	-43.48	Cerrado	64.9	0.85	3.63
Sample_20	-11.7413	-56.2533	Amazon	94.09	4.22	11.56
Sample_21	-11.6833	-55.8358	Amazon	94.33	4.6	11.56
Sample_22	-11.7413	-56.2533	Amazon	116.23	4.68	11.42
Sample_23	-8.8338	-42.5537	Caatinga	53.58	1.31	4.37
Sample_24	-9.2236	-41.0865	Caatinga	60.16	2.83	4.33
Sample_25	-6.7123	-38.2523	Caatinga	27.24	3.13	4.17
Sample_26	-9.2236	-41.0865	Caatinga	26.64	2.88	4.02
Sample_27	-8.8338	-42.5537	Caatinga	19.1	0.08	3.93
Sample_28	-6.7123	-38.2523	Caatinga	21.5	2.35	3.69
Sample_29	-15.1958	-54.0592	Cerrado	54.74	0.28	2.7
Sample_3	-15.5558	-47.5102	Cerrado	62.53	2.07	2.77
Sample_30	-15.1958	-54.0581	Cerrado	41.34	0.35	2.43
Sample_31	-14.3606	-54.3569	Cerrado	38.98	5.51	1.48
Sample_32	-13.3658	-54.9072	Cerrado	53.99	1.15	3.63
Sample_33	-13.3658	-54.9067	Cerrado	9.02	4.68	4.37
Sample_34	-13.3658	-54.9061	Cerrado	42.67	7.16	4.33
Sample_35	-15.1958	-54.0586	Cerrado	41.74	1.59	4.17
Sample_36	-14.3272	-54.3742	Cerrado	23.17	5.85	4.02
Sample_37	-14.3272	-54.3736	Cerrado	26.69	1.11	3.93
Sample_38	-14.3272	-54.3747	Cerrado	44.12	2.83	3.69
Sample_39	-13.3825	-54.94	Cerrado	12.27	3.89	3.63
Sample_4	-22.41	-47.38	Atlanctic_forest	102.12	5.21	8.13
Sample_40	-13.3825	-54.9394	Cerrado	17.43	5.5	2.77
Sample_41	-13.3825	-54.9406	Cerrado	33.12	0.88	2.7
Sample_42	-14.3606	-54.3575	Cerrado	76.31	2.33	2.43
Sample_43	-14.3606	-54.3581	Cerrado	57.13	5.08	1.48
Sample_44	-25.0833	-50.15	Atlanctic_forest	98.83	2.83	9.83
Sample_45	-10.65	-37	Atlanctic_forest	21.28	2.84	8.13
Sample_46	-23.3	-51.2	Atlanctic_forest	67.92	2.87	8.09
Sample_47	-9.0744	-40.3301	Caatinga	13.68	0.54	4.37
Sample_48	-14.235	-51.9253	Cerrado	30.46	3.11	2.33
Sample_49	-26.733	-54.683	Argentina	66	5.08	4.87
Sample_5	-19.8635	-43.8056	Atlanctic_forest	104.26	2.83	8.09
Sample_50	-15.6094	-47.7433	Cerrado	47.12	1.29	2.77
Sample_51	-22.41	-47.38	Atlanctic_forest	75.6	2.88	7.97
Sample_52	-15.1012	-49.0107	Cerrado	73.1	4.04	1.83
Sample_53	-15.1086	-49.0208	Cerrado	22.3	2.56	9.02
Sample_54	-15.1012	-49.0107	Cerrado	36.54	4.04	4.35
Sample_55	-22.2752	-54.8169	Cerrado	52.35	2.62	4.17
Sample_56	-22.41	-47.38	Atlanctic_forest	101.68	2.98	7.89
Sample_57	-21.32	-48.1284	Cerrado	98.61	3.5	5.71
Sample_58	-7.1649	-39.2617	Caatinga	40.56	5.21	4.33
Sample_59	-7.1216	-39.1931	Caatinga	66.88	3.34	4.17
Sample_6	-19.8612	-43.8074	Atlanctic_forest	82.13	2.84	7.97
Sample_60	-7.1445	-39.1859	Caatinga	8.1	3.12	4.02
Sample_61	-7.1297	-39.1814	Caatinga	12.71	2.25	3.93
Sample_62	-2.8566	-54.9579	Amazon	115.12	4.82	11.11
Sample_63	-3.2633	-54.8933	Amazon	53.11	4.87	11.09
Sample_64	-3.1314	-54.9578	Amazon	88.23	4.89	10.71
Sample_65	-3.2633	-54.8933	Amazon	90.21	5.08	10.7
Sample_66	-3.1314	-54.9578	Amazon	92.5	5.21	10.39
Sample_67	-3.2633	-54.8933	Amazon	92.73	3.89	10.39
Sample_68	-3.1314	-54.9578	Amazon	94.09	4	11.63
Sample_69	-3.2633	-54.8933	Amazon	94.33	4.04	8.18
Sample_7	-13.3679	-39.0561	Atlanctic_forest	44.61	2.87	7.89
Sample_70	-3.1314	-54.9578	Amazon	110.81	4.04	11.56
Sample_71	-3.2633	-54.8933	Amazon	88.23	4.22	7.7
Sample_72	-3.1314	-54.9578	Amazon	90.21	4.6	11.81
Sample_73	-2.8566	-54.9579	Amazon	92.5	4.68	16.78
Sample_74	-3.1314	-54.9578	Amazon	92.73	4.82	7.89
Sample_75	-2.8566	-54.9579	Amazon	94.09	4.87	7.05
Sample_76	-4.1012	-54.9095	Amazon	94.33	4.89	9.21
Sample_77	-19.8339	-43.7354	Atlanctic_forest	70.54	3.03	7.83
Sample_78	-10.65	-37	Atlanctic_forest	48.55	1.43	7.72
Sample_79	-10.17	-62.8	Amazon	100.62	5.08	10.39
Sample_8	-19.8615	-43.7904	Atlanctic_forest	22.07	2.88	7.83
Sample_80	-22.2752	-54.8169	Cerrado	46.99	0.8	7.29
Sample_81	-2.856638889	-54.95788889	Amazon	71.97	5.21	8.56
Sample_82	-3.263305556	-54.89333333	Amazon	108.06	3.89	12.28
Sample_83	-3.131361111	-54.95780556	Amazon	94.09	4	6
Sample_84	-2.856638889	-54.95788889	Amazon	38.23	4.04	8.47
Sample_85	-3.263305556	-54.89333333	Amazon	20.78	4.04	5.37
Sample_86	-3.131361111	-54.95780556	Amazon	94.33	4.22	6.41
Sample_87	-11.68193611	-55.835775	Amazon	32.69	4.6	3.93
Sample_88	-11.68338056	-55.83431944	Amazon	92.5	4.68	5.03
Sample_89	-11.68474444	-55.83709444	Amazon	32.56	4.82	4.37
Sample_9	-23.9039	-46.4298	Atlanctic_forest	164.3	2.98	7.72
Sample_90	-11.71720556	-55.79485556	Amazon	92.73	4.87	7.18
Sample_91	-14.32722222	-54.37416667	Cerrado	97.8	0.1	5.63
Sample_92	-13.3825	-54.94	Cerrado	88.54	2.4	7.47
Sample_93	-30.33333333	-54.25	Pampa	29.66	3.73	7.61
Sample_94	-29.75	-53.75	Pampa	100.68	0.99	8.54
