Sample_ID	taxa1	taxa2	taxa3	taxa4	taxa5	taxa6	taxa7	taxa8	taxa9	taxa10	taxa11	taxa12	taxa13	taxa14	taxa15	taxa16	taxa17	taxa18	taxa19	taxa20	C	N	P	K	Biome	Lat	Long
sample_1_	0	0	0	0	0	773	0	148	0	0	0	0	0	136	927	189	0	667	190	922	45	4	24	15	Cerrado	-301.784	-477.841
sample_2_	995	997	43	0	0	738	0	246	0	0	473	914	422	0	0	367	0	483	0	877	20	78	33	18	Cerrado	-176.213	-349.566
sample_3_	349	713	618	504	315	393	0	0	303	0	0	786	0	597	0	965	495	0	0	64	48	26	92	11	Cerrado	-329.938	-624.618
sample_4_	0	284	829	0	0	769	679	183	794	0	596	0	258	0	698	386	0	361	799	0	5	40	63	32	Cerrado	-179.262	-554.075
sample_5_	278	0	78	860	0	0	0	0	0	72	129	607	473	299	898	0	0	764	0	0	46	82	21	37	Cerrado	-297.682	-651.472
sample_6_	847	0	214	0	414	804	1000	0	486	664	0	70	789	0	0	958	0	0	0	654	95	25	53	12	Cerrado	-327.891	-502.725
sample_7_	422	236	196	0	0	0	0	0	54	0	807	410	0	0	0	0	0	0	0	0	32	45	1	25	Cerrado	-46.243	-642.047
sample_8_	666	0	0	297	623	438	397	0	797	363	0	0	0	288	119	502	0	0	0	0	71	69	25	12	Cerrado	-289.918	-670.272
sample_9_	0	936	657	0	0	0	340	545	0	0	0	871	0	659	347	0	0	715	362	762	62	8	49	3	Cerrado	-315.903	-355.633
sample_10_	377	0	191	0	867	289	0	0	0	0	472	294	0	334	335	348	991	102	176	313	89	57	72	10	Atlantic_forest	-124.585	-545.475
sample_11_	6	638	0	741	0	796	939	0	0	75	552	0	446	0	353	495	137	187	486	439	60	67	92	66	Atlantic_forest	-70.418	-636.967
sample_12_	109	0	300	530	0	850	507	437	0	660	141	0	898	163	292	0	0	941	383	436	1	42	65	8	Atlantic_forest	-92.039	-469.216
sample_13_	397	0	0	65	833	0	58	0	743	0	0	0	778	417	0	0	0	153	850	0	81	3	93	10	Atlantic_forest	-8.023	-470.882
sample_14_	990	0	912	77	0	149	96	0	0	882	0	379	0	380	0	765	449	612	0	0	68	72	37	92	Atlantic_forest	-321.635	-461.696
sample_15_	0	0	0	0	0	407	383	363	210	0	660	12	188	0	19	0	0	924	795	0	37	3	89	72	Atlantic_forest	-240.829	-434.806
sample_16_	208	0	408	0	0	106	424	0	0	0	0	652	0	0	734	332	0	0	0	379	96	24	63	10	Atlantic_forest	-17.936	-671.947
sample_17_	354	253	419	0	0	263	0	0	0	303	0	0	360	0	198	0	0	0	233	480	94	56	29	28	Atlantic_forest	-53.004	-396.933
sample_18_	314	0	0	0	85	489	0	471	310	986	269	0	0	196	0	0	359	132	0	352	46	78	78	53	Caatinga	-282.988	-47.046
sample_19_	125	0	481	0	0	747	0	0	0	0	0	0	0	663	467	424	197	845	748	528	61	7	93	84	Caatinga	-266.255	-40.058
sample_20_	0	0	961	39	0	572	0	0	0	922	690	76	0	0	0	0	0	931	0	0	18	20	33	71	Caatinga	-26.321	-442.973
sample_21_	0	455	0	0	0	894	704	697	107	0	801	808	0	0	0	742	0	924	0	149	6	97	88	18	Caatinga	-193.034	-352.981
sample_22_	0	0	0	389	225	959	822	0	60	0	0	905	0	0	411	673	0	0	21	0	89	96	35	49	Caatinga	-31.895	-363.447
sample_23_	217	88	0	0	0	0	62	561	490	648	90	0	742	763	0	0	869	605	840	0	41	93	45	3	Caatinga	-140.229	-436.893
sample_24_	0	507	0	0	0	0	321	492	0	0	0	534	0	142	0	0	0	900	0	0	16	40	86	6	Caatinga	-15.191	-493.879
sample_25_	0	0	280	0	805	0	137	332	0	0	29	0	935	786	817	0	0	0	0	571	95	89	9	72	Caatinga	-15.232	-483.604
sample_26_	918	0	0	506	0	603	697	858	0	485	965	741	0	0	110	0	805	0	0	0	73	21	65	18	Amazon	-289.348	-371.812
sample_27_	589	0	327	35	488	0	0	60	111	296	694	0	0	0	725	306	0	0	123	0	68	22	81	90	Amazon	5.378	-391.839
sample_28_	0	749	0	0	0	574	701	0	384	357	165	0	0	778	36	756	0	0	0	0	73	10	48	68	Amazon	-250.425	-36.731
sample_29_	0	0	138	547	0	0	336	123	0	48	0	0	0	159	0	287	242	925	517	526	64	8	79	5	Amazon	-71.786	-667.071
sample_30_	614	0	684	0	0	206	0	337	632	0	837	613	0	0	327	541	307	335	41	492	87	44	56	60	Amazon	-117.241	-734.278
sample_31_	317	0	0	725	0	111	618	0	0	655	0	651	314	0	540	0	0	0	0	652	61	31	49	1	Amazon	-315.179	-604.381
sample_32_	881	0	0	0	0	126	236	0	931	43	0	880	843	0	0	837	535	585	627	0	43	86	53	98	Amazon	-163.887	-387.806
sample_33_	161	242	0	0	989	0	0	328	0	0	942	0	0	32	377	235	716	815	930	0	51	4	28	99	Amazon	-300.222	-586.466
sample_34_	656	963	0	650	0	0	0	516	135	0	0	870	0	155	0	422	0	0	0	0	93	32	43	22	Amazon	-259.471	-549.388
sample_35_	625	529	0	40	0	671	0	62	240	0	894	482	140	472	273	0	0	75	619	764	33	49	29	32	Amazon	-15.019	-731.535
sample_36_	576	0	148	887	0	0	58	0	0	792	625	0	0	372	131	651	0	0	0	0	22	12	76	29	Amazon	5.1008	-688.984
sample_37_	698	18	0	754	0	0	0	985	0	0	173	576	973	216	0	827	0	0	546	11	18	26	22	15	Amazon	-171.224	-352.905
sample_38_	36	0	820	197	0	0	0	798	0	0	452	981	0	0	625	0	0	606	405	0	1	37	9	17	Amazon	-68.688	-577.213
sample_39_	53	0	0	917	679	0	664	956	0	0	0	0	0	953	0	0	0	26	34	809	18	27	25	14	Amazon	-189.013	-460.316
sample_40_	266	0	244	355	458	731	742	0	0	233	571	721	511	211	295	0	235	0	0	399	8	35	69	64	Amazon	-315.586	-638.035
sample_41_	151	0	0	262	207	0	239	0	858	0	184	0	376	18	247	569	255	949	419	0	2	64	45	34	Argentina	-89.058	-733.969
sample_42_	551	0	0	0	0	525	430	0	0	455	0	0	373	0	328	0	652	285	0	0	74	22	25	7	Argentina	3.456	-661.659
sample_43_	0	0	0	489	0	0	427	184	883	0	392	729	0	32	0	0	952	89	78	0	73	37	35	37	Argentina	1.5078	-412.802
