Sample_ID	C	N	P	K	Biome	Lat	Long
sample_1_	45	4	24	15	Cerrado	-30.1784	-47.7841
sample_2_	20	78	33	18	Cerrado	-17.6213	-34.9566
sample_3_	48	26	92	11	Cerrado	-32.9938	-62.4618
sample_4_	5	40	63	32	Cerrado	-17.9262	-55.4075
sample_5_	46	82	21	37	Cerrado	-29.7682	-65.1472
sample_6_	95	25	53	12	Cerrado	-32.7891	-50.2725
sample_7_	32	45	1	25	Cerrado	-4.6243	-64.2047
sample_8_	71	69	25	12	Cerrado	-28.9918	-67.0272
sample_9_	62	8	49	3	Cerrado	-31.5903	-35.5633
sample_10_	89	57	72	10	Atlantic_forest	-12.4585	-54.5475
sample_11_	60	67	92	66	Atlantic_forest	-7.0418	-63.6967
sample_12_	1	42	65	8	Atlantic_forest	-9.2039	-46.9216
sample_13_	81	3	93	10	Atlantic_forest	-0.8023	-47.0882
sample_14_	68	72	37	92	Atlantic_forest	-32.1635	-46.1696
sample_15_	37	3	89	72	Atlantic_forest	-24.0829	-43.4806
sample_16_	96	24	63	10	Atlantic_forest	-17.936	-67.1947
sample_17_	94	56	29	28	Atlantic_forest	-5.3004	-39.6933
sample_18_	46	78	78	53	Caatinga	-28.2988	-47.046
sample_19_	61	7	93	84	Caatinga	-26.6255	-40.058
sample_20_	18	20	33	71	Caatinga	-26.321	-44.2973
sample_21_	6	97	88	18	Caatinga	-19.3034	-35.2981
sample_22_	89	96	35	49	Caatinga	-3.1895	-36.3447
sample_23_	41	93	45	3	Caatinga	-14.0229	-43.6893
sample_24_	16	40	86	6	Caatinga	-15.191	-49.3879
sample_25_	95	89	9	72	Caatinga	-1.5232	-48.3604
sample_26_	73	21	65	18	Amazon	-28.9348	-37.1812
sample_27_	68	22	81	90	Amazon	0.5378	-39.1839
sample_28_	73	10	48	68	Amazon	-25.0425	-36.731
sample_29_	64	8	79	5	Amazon	-7.1786	-66.7071
sample_30_	87	44	56	60	Amazon	-11.7241	-73.4278
sample_31_	61	31	49	1	Amazon	-31.5179	-60.4381
sample_32_	43	86	53	98	Amazon	-16.3887	-38.7806
sample_33_	51	4	28	99	Amazon	-30.0222	-58.6466
sample_34_	93	32	43	22	Amazon	-25.9471	-54.9388
sample_35_	33	49	29	32	Amazon	-15.019	-73.1535
sample_36_	22	12	76	29	Amazon	5.1008	-68.8984
sample_37_	18	26	22	15	Amazon	-17.1224	-35.2905
sample_38_	1	37	9	17	Amazon	-6.8688	-57.7213
sample_39_	18	27	25	14	Amazon	-18.9013	-46.0316
sample_40_	8	35	69	64	Amazon	-31.5586	-63.8035
sample_41_	2	64	45	34	Argentina	-8.9058	-73.3969
sample_42_	74	22	25	7	Argentina	0.3456	-66.1659
sample_43_	73	37	35	37	Argentina	1.5078	-41.2802
sample_44_	39	84	10	60	Argentina	3.7289	-47.6848
sample_45_	14	10	62	41	Argentina	-19.9759	-40.1428
sample_46_	21	74	31	50	Argentina	-4.4187	-36.8161
sample_47_	23	56	95	5	Argentina	-17.4085	-34.6978
sample_48_	58	78	11	98	Argentina	-23.9071	-50.5257
sample_49_	18	60	90	87	Argentina	-19.1717	-41.2698
sample_50_	79	69	72	27	Argentina	-33.4105	-73.2891
sample_51_	62	92	55	6	Pampa	-21.3288	-49.7969
sample_52_	55	59	40	30	Pampa	-2.3332	-39.3906
sample_53_	43	3	16	45	Pampa	-27.9266	-65.1558
sample_54_	56	66	92	36	Pampa	-13.5976	-46.0411
sample_55_	99	83	17	91	Pampa	-23.7077	-51.9027
sample_56_	29	95	83	56	Pampa	-22.0112	-35.9451
sample_57_	22	97	48	88	Pampa	-15.3764	-57.1675
sample_58_	56	10	16	66	Pampa	-27.6106	-62.5446
sample_59_	63	43	87	53	Pampa	-30.1257	-37.0922
sample_60_	19	20	96	81	Pampa	-10.2671	-47.8498
