sample_ID	taxa1	taxa2	taxa3	taxa4	taxa5	taxa6	taxa7	taxa8	taxa9	taxa10	taxa11	taxa12	taxa13	taxa14	taxa15	taxa16	taxa17	taxa18	taxa19	taxa20
sample1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1
sample2	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	0
sample3	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0
sample4	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0
sample5	0	0	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	1	0
sample6	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1
sample7	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	1	0
sample8	0	1	1	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0
sample9	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0
sample10	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0
sample11	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0
sample12	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1
sample13	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0
sample14	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1
sample15	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0
sample16	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0
sample17	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1
sample18	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0
sample19	0	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1
sample20	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0
