Samples	Latitude	Longitude	Biome	Average.precip	Alpha_div	Org.Matter
Sample_1	-19.56	-43.75	BR_Savanas	50.17	0.92	7.699999809
Sample_10	-23.8969	-46.2078	Atlanctic_forest	83.07	3.03	11.69999981
Sample_11	-23.9017	-45.2508	Atlanctic_forest	3.92	1.67	9.899999619
Sample_12	-25.0839	-47.9506	Atlanctic_forest	88.23	3.08	9.199999809
Sample_13	-23.8468	-46.4159	Atlanctic_forest	5.42	5.4	11.89999962
Sample_14	-23.8658	-46.4375	Atlanctic_forest	72.91	4.6	10.69999981
Sample_15	-11.6833	-55.8358	Amazon	88.23	3.89	11.10000038
Sample_17	-11.6833	-55.8358	Amazon	90.21	4	11.10000038
Sample_18	-11.7413	-56.2533	Amazon	92.5	4.04	9.899999619
Sample_19	-11.6833	-55.8358	Amazon	92.73	4.04	11.10000038
Sample_2	-19.51	-43.48	BR_Savanas	64.9	0.85	10
Sample_20	-11.7413	-56.2533	Amazon	94.09	4.22	9.899999619
Sample_21	-11.6833	-55.8358	Amazon	94.33	4.6	11.10000038
Sample_22	-11.7413	-56.2533	Amazon	116.23	4.68	9.899999619
Sample_23	-8.8338	-42.5537	Caatinga	53.58	1.31	4.300000191
Sample_24	-9.2236	-41.0865	Caatinga	60.16	2.83	3.200000048
Sample_25	-6.7123	-38.2523	Caatinga	27.24	3.13	4.699999809
Sample_26	-9.2236	-41.0865	Caatinga	26.64	2.88	3.200000048
Sample_27	-8.8338	-42.5537	Caatinga	19.1	0.08	4.300000191
Sample_28	-6.7123	-38.2523	Caatinga	21.5	2.35	4.699999809
Sample_29	-15.1958	-54.0592	BR_Savanas	54.74	0.28	8.199999809
Sample_3	-15.5558	-47.5102	BR_Savanas	62.53	2.07	8.899999619
Sample_30	-15.1958	-54.0581	BR_Savanas	41.34	0.35	8.199999809
Sample_31	-14.3606	-54.3569	BR_Savanas	38.98	5.51	7.300000191
Sample_32	-13.3658	-54.9072	BR_Savanas	53.99	1.15	7.5
Sample_33	-13.3658	-54.9067	BR_Savanas	9.02	4.68	8.399999619
Sample_34	-13.3658	-54.9061	BR_Savanas	42.67	7.16	8.399999619
Sample_35	-15.1958	-54.0586	BR_Savanas	41.74	1.59	8.199999809
Sample_36	-14.3272	-54.3742	BR_Savanas	23.17	5.85	5.800000191
Sample_37	-14.3272	-54.3736	BR_Savanas	26.69	1.11	5.800000191
Sample_38	-14.3272	-54.3747	BR_Savanas	44.12	2.83	5.800000191
Sample_39	-13.3825	-54.94	BR_Savanas	12.27	3.89	8.899999619
Sample_4	-22.41	-47.38	Atlanctic_forest	102.12	5.21	7.599999905
Sample_40	-13.3825	-54.9394	BR_Savanas	17.43	5.5	8.899999619
