sample_ID	variable	value
sample1	taxa1	1
sample2	taxa1	1
sample3	taxa1	1
sample6	taxa1	1
sample7	taxa1	1
sample11	taxa1	1
sample15	taxa1	1
sample16	taxa1	1
sample17	taxa1	1
sample1	taxa2	1
sample4	taxa2	1
sample8	taxa2	1
sample10	taxa2	1
sample12	taxa2	1
sample13	taxa2	1
sample14	taxa2	1
sample18	taxa2	1
sample19	taxa2	1
sample3	taxa3	1
sample5	taxa3	1
sample7	taxa3	1
sample8	taxa3	1
sample12	taxa3	1
sample13	taxa3	1
sample20	taxa3	1
sample1	taxa4	1
sample4	taxa4	1
sample9	taxa4	1
sample11	taxa4	1
sample12	taxa4	1
sample13	taxa4	1
sample14	taxa4	1
sample17	taxa4	1
sample18	taxa4	1
sample20	taxa4	1
sample1	taxa5	1
sample5	taxa5	1
sample10	taxa5	1
sample13	taxa5	1
sample17	taxa5	1
sample20	taxa5	1
sample2	taxa6	1
sample3	taxa6	1
sample4	taxa6	1
sample7	taxa6	1
sample8	taxa6	1
sample9	taxa6	1
sample10	taxa6	1
sample12	taxa6	1
sample14	taxa6	1
sample15	taxa6	1
sample16	taxa6	1
sample17	taxa6	1
sample18	taxa6	1
sample19	taxa6	1
sample3	taxa7	1
sample5	taxa7	1
sample8	taxa7	1
sample11	taxa7	1
sample14	taxa7	1
sample15	taxa7	1
sample16	taxa7	1
sample18	taxa7	1
sample1	taxa8	1
sample2	taxa8	1
sample3	taxa8	1
sample6	taxa8	1
sample7	taxa8	1
sample8	taxa8	1
sample9	taxa8	1
sample16	taxa8	1
sample17	taxa8	1
sample18	taxa8	1
sample20	taxa8	1
sample3	taxa9	1
sample6	taxa9	1
sample9	taxa9	1
sample12	taxa9	1
sample17	taxa9	1
sample18	taxa9	1
sample20	taxa9	1
sample1	taxa10	1
sample3	taxa10	1
sample5	taxa10	1
sample7	taxa10	1
sample8	taxa10	1
sample9	taxa10	1
sample10	taxa10	1
sample11	taxa10	1
sample13	taxa10	1
sample14	taxa10	1
sample15	taxa10	1
sample16	taxa10	1
sample17	taxa10	1
sample18	taxa10	1
sample2	taxa11	1
sample5	taxa11	1
sample7	taxa11	1
sample9	taxa11	1
sample10	taxa11	1
sample11	taxa11	1
sample13	taxa11	1
sample15	taxa11	1
sample17	taxa11	1
sample18	taxa11	1
sample19	taxa11	1
sample1	taxa12	1
sample3	taxa12	1
sample5	taxa12	1
sample8	taxa12	1
sample9	taxa12	1
sample13	taxa12	1
sample15	taxa12	1
sample16	taxa12	1
sample17	taxa12	1
sample18	taxa12	1
sample19	taxa12	1
sample2	taxa13	1
sample6	taxa13	1
sample7	taxa13	1
sample10	taxa13	1
sample11	taxa13	1
sample13	taxa13	1
sample15	taxa13	1
sample19	taxa13	1
sample2	taxa14	1
sample3	taxa14	1
sample4	taxa14	1
sample5	taxa14	1
sample6	taxa14	1
sample8	taxa14	1
sample9	taxa14	1
sample11	taxa14	1
sample12	taxa14	1
sample13	taxa14	1
sample15	taxa14	1
sample18	taxa14	1
sample19	taxa14	1
sample1	taxa15	1
sample5	taxa15	1
sample6	taxa15	1
sample10	taxa15	1
sample11	taxa15	1
sample14	taxa15	1
sample16	taxa15	1
sample18	taxa15	1
sample19	taxa15	1
sample1	taxa16	1
sample4	taxa16	1
sample6	taxa16	1
sample8	taxa16	1
sample10	taxa16	1
sample11	taxa16	1
sample13	taxa16	1
sample14	taxa16	1
sample17	taxa16	1
sample18	taxa16	1
sample1	taxa17	1
sample4	taxa17	1
sample7	taxa17	1
sample8	taxa17	1
sample10	taxa17	1
sample11	taxa17	1
sample12	taxa17	1
sample15	taxa17	1
sample17	taxa17	1
sample20	taxa17	1
sample2	taxa18	1
sample4	taxa18	1
sample6	taxa18	1
sample7	taxa18	1
sample9	taxa18	1
sample10	taxa18	1
sample11	taxa18	1
sample12	taxa18	1
sample13	taxa18	1
sample14	taxa18	1
sample16	taxa18	1
sample17	taxa18	1
sample18	taxa18	1
sample19	taxa18	1
sample20	taxa18	1
sample2	taxa19	1
sample3	taxa19	1
sample5	taxa19	1
sample7	taxa19	1
sample8	taxa19	1
sample10	taxa19	1
sample12	taxa19	1
sample16	taxa19	1
sample17	taxa19	1
sample19	taxa19	1
sample20	taxa19	1
sample1	taxa20	1
sample6	taxa20	1
sample12	taxa20	1
sample14	taxa20	1
sample17	taxa20	1
sample19	taxa20	1
